"nome","resumo","coordenador"
"GEOMETRIA INTRÍNSECA E TOPOLOGIA DAS SUPERFÍCIES","Este projeto visa estudar a geometria intrínseca e a topologia das superfícies. No primeiro ano estudaremos a geometria intrínseca das superfícies minimizantes de área. Depois estudaremos todos os conceitos geométricos e topológicos para compreendermos o célebre teorema de gauss-bonnet. E por fim estudaremos geometria intrínseca e a topologia das superfícies esféricas através do teorema de poincaré-hopf do teorema da esfera cabeluda e da fibração de hopf.","Jackeline Conrado"
"PESQUISAS EM PRÁTICAS PEDAGÓGICAS EM MATEMÁTICA: INVESTIGAÇÕES MATEMÁTICAS MODELAGEM E PENSAMENTO MATEMÁTICO AVANÇADO","Buscando articular as demandas sociais integrar ensino pesquisa e extensão nas práticas universitárias em atividades de formação continuada deseja-se relacionar o saber acadêmico com as práticas culturais sociais e históricas a partir da criação e apresentação de materiais educacionais para as aulas de matemática. Deseja-se assim fomentar espaços de práticas pedagógicas e reflexões acadêmicas dos participantes. ","Jean Felipe De Assis"
"ESTUDO DAS CONTRIBUIÇÕES DO CANAL DE QUEBRA NAS SEÇÕES DE CHOQUE DE FUSÃO TOTAL E COMPLETA DE NÚCLEOS FRACAMENTE LIGADOS","Este projeto tem o objetivo de aperfeiçoamento de um código computacional que estima seções de choque de fusão de nucleos que podem se quebrar durante a reação. Também tem objetivo de avaliar a possibildiade de extender o modelo à sintese de elementos super pesados (she- super heavy elements)","Jeannie Rangel Borges"
"INTEGRAÇÃO DE APRENDIZADO SUPERVISIONADO E NÃO SUPERVISIONADO PARA PROBLEMAS DE CLASSIFICAÇÃO","O projeto de pesquisa visa integrar métodos de aprendizado de máquina não supervisionados como dbscan com árvores de decisão para melhorar a precisão dos modelos. Busca-se explorar novas abordagens na divisão de nós das árvores avaliando o impacto dessa integração em diferentes conjuntos de dados. Além de avançar na ciência de dados o projeto visa formar o aluno como um pesquisador competente e inovador na área de aprendizado de máquina.","Jorge Luiz De Jesus Goulart"
"SÍNTESE E AVALIAÇÃO BIOLÓGICA DE ISOFLAVANÓIDES E DERIVADOS VIA REAÇÕES DE ALFA-ARILAÇÃO","As homo-isoflavanonas são produtos naturais encontrados principalmente nas leguminosas e apresentam uma grande variedade de atividades biológicas. Dada a dificuldade de obtenção em quantidades expressivas destes compostos a partir do isolamento de fontes naturais e da limitação de estratégias sintéticas para a preparação destes compostos decidimos investigar a síntese dos correspondentes carba-análogos destes compostos: as 2-benzil-2-hidroxi-tetralonas.","Jorge Luiz De Oliveira Domingos"
"ARACTERIZAÇÃO ESTRUTURAL MAGNÉTICA E ESPECTROSCÓPICA DE COMPOSTOS MAGNÉTICOS MOLECULARES CONTENDO ÍONS DOS BLOCOS D E F E RADICAIS DO TIPO NITRONIL NITRÓXIDO","O magnetismo molecular é uma área de pesquisa multidisciplinar que busca a síntese e o design racional de espécies moleculares com comportamento magnético que se assemelhe aqueles observados em magnetos clássicos. A proposta desse projeto consiste na preparação e caracterização de compostos magnéticos moleculares que combinem as propriedades magnéticas dos metais de transição (blocos d e f) com as dos ligantes radicalares do tipo nitronil nitróxido.","Julio Cesar Da Rocha"
"FABRICAÇÃO DE DISPOSITIVOS PLASMÔNICOS A FIBRA ÓPTICA PARA DETECÇÃO DE POLUENTES SULFURADOS EM ÁGUAS FLUVIAIS","Neste projeto apresenta-se a proposta de desenvolvimento de sensores à fibra óptica baseado no efeito da ressonância de plasmon de superfície localizada (lspr) para detectar a presença de poluentes ambientais tais como compostos sulfurados (resultantes da emissão de esgoto in natura nos rios e mares).","Larissa Maria Beserra Soares"
"PROJETO MAPA: MAPEAMENTO PARTICIPATIVO E CARTOGRAFIAS COLETIVAS PARA PLANEJAMENTO E GESTÃO TERRITORIAL","Avaliar o mapeamento participativo como possibilidade para planejamento e gestão territorial buscando problematizar o processo de levantamento de dados geográficos e sua finalidade como subsídio para análises espaciais de questões político-territoriais educacionais e/ou ambientais.","Leandro Andrei Beser De Deus"
"AMBIENTES ACÚSTICOS SUBMARINOS COSTEIROS E OCEÂNICOS: CARACTERIZAÇÃO MAPEAMENTO PADRÕES TEMPORAIS E POLUIÇÃO SONORA","Ambientes acústicos subaquáticos têm recebido atenção no mundo todo devido à sua importância para a fauna marinha. No estado do rio de janeiro todas as baías costeiras apresentam portos e presença diária de embarcações sem que os efeitos da poluição sonora sejam considerados. Compreender as características acústicas desses ambientes e identificar as fontes causadoras ruído antrópico assim como quantificar a exposição da fauna a elas é importante para avaliar a saúde dos ecossistemas.","Lis Bittencourt Vilas Boas"
"DESENVOLVIMENTO DE TÉCNICAS DE TXTRAÇÃO DE ISOSUPERFÍCIES QUE MELHOR REPRESENTEM AS ESTRUTURAS CONTIDAS NO DADO VOLUMÉTRICO ","Pretende-se neste projeto investigar as limitações do interpolante trilinear (utilizado pelo marching cubes e por grande parte dos algoritmos extratores de isosuperfícies por sua simplicidade) na representação de dados. E explorar a utilização de outros interpolantes na visualização do dado volumétrico com o objetivo de desenvolver técnicas de extração de isosuperfícies que melhor representem as estruturas contidas no dado original.","Lis Ingrid Roque Lopes Custodio"
